Day,단어,뜻,외움,,
day21,vital,필수적인,,,
day21,persist,"(집요하게)계속하다, 계속되다, 지속되다
(continue 계속되다, 계속하다)",,,
day21,independent,"독립적인, 독자적인",,,
day21,force,세력,,,
day21,establish,설립하다,,,
day21,initiate,"(사업 등을) 착수하다, 시작하다
(commence 시작하다)",,,
day21,enhance,"(질 등을) 향상시키다, 높이다, 강화하다
(strengthen 강화하다)
(reinforce 보강하다, 강화하다)",,,
day21,renowned,"저명한, 유명한, 명성이 있는",,,
day21,informed,"정보에 근거한
(inform 알리다, 통지하다)",,,
day21,minutes,회의록,,,
day21,waive,"(규칙 등을)적용하지 않다,
(권리,청구등을)포기하다
(abandon 버리다, 단념하다, 그만두다)",,,
day21,reach,"(치수,양 등이)~에 달하다;
~에 도착하다",,,
day21,authority,권한; 당국,,,
day21,acquire,"매입하다, 취득하다
(inquire 묻다)
(inquiry 조사, 문의)",,,
day21,surpass,"~을 능가하다, 넘어서다",,,
day21,run,"~을 운영하다, 경영하다",,,
day21,improbable,"사실이라고 생각할 수 없는,
일어날 것 같지 않은
(probable 있음직한, 일어날것같은)",,,
day21,edge,"우위, 유리함; 가장자리, 끝",,,
day21,simultaneously,"동시에
(coincidentally 우연히 일치하게 동시발생적으로)",,,
day21,reveal,"밝히다, 누설하다",,,
day21,productivity,생산성,,,
day21,uncertain,"확신이 없는, 불확실한",,,
day21,premier,"으뜸의, 첫째의",,,
day22,agenda,"의제, 의사일정",,,
day22,convene,"(회원 등이)모이다, (회의가)개최되다
(convener 의장,소집자)",,컨빈,
day22,refute,"부인하다, 반박하다
(refutation 반박, 반론)",,,
day22,coordination,조정,,,
day22,unanimous,"만장일치의, 동의하는
(unanimously  만장일치로)",,,
day22,convince,"납득시키다, 확신시키다",,,
day22,consensus,"여론, 일치된 의견",,,
day22,defer,"연기하다, 미루다
(differ 다르다)",,,
day22,usually,"보통, 일반적으로",,,
day22,reschedule,일정을 바꾸다,,,
day22,meeting,회의,,,
day22,determine,"알아내다; 결정하다, 확정하다",,,
day22,report,"보고하다; 출두하다,
(직장,회의 등에 도착을)알리다,
보고서; 보도, 기록",,,
day22,comment,"논평하다, 언급하다",,,
day22,phase,단계,,,
day22,approve,"승인하다, 찬성하다",,,
day22,enclosed,동봉된,,,
day22,easy,"쉬운, 용이한",,,
day22,record,"기록; 경력, 이력, 기록하다",,,
day22,suggestion,제안,,,
day22,attention,"주의, 경청",,,
day22,object,반대하다,,,
day22,coincidentally,"우연히, 일치하게, 동시 발생적으로
(coincident 일치하는)",,,
day22,crowded,"붐비는, 복잡한",,,
day22,undergo,"겪다, 거치다, 경험하다",,,
day22,outcome,결과 (=consequence),,,
day22,narrowly,"주의 깊게, 좁게; 가까스로, 간신히, 겨우",,,
day22,differ,"의견을 달리하다, 다르다",,,
day22,discuss,"논의하다, 토론하다",,,
day22,give,"(연설, 수업 등을)하다",,,
day22,brief,"~에게 간단히 설명하다, 브리핑하다",,,
day22,distract,"(주의를)산만하게 하다, 빗기게 하다(distraction 주의산만, 방심)",,,
day22,emphasis,"강조, 중점",,,
day22,press,"언론(계),보도기관, 누르다",,,
day22,organize,"준비하다, 조직하다, 정리하다",,,
day22,mention,언급하다,,,
day22,persuasive,설득력 있는,,,
day22,understanding,이해심 있는,,,
day22,adjourn,(회의 등을)휴회하다,,,
day22,constructive,건설적인,,,
day22,preside,"(회의의)사회를 보다, ~의 의장을 맡아보다",,,
day22,irrelevant,"관계가 없는, 무관한
(relevant 관계가 있는)",,,
day22,constraint,제한(=restriction),,,
day23,host,(대회 등을)주최하다,,,
day23,annual,매년의,,,
day23,purpose,"목적, 의도",,,
day23,enroll,등록하다,,,
day23,lecture,"강의, 강연",,,
day23,participant,참가자,,,
day23,attend,"참석하다, 출석하다",,,
day23,encourage,"장려하다, 복돋아주다",,,
day23,leave,"휴가, 떠나다, 남기다",,,
day23,recommendation,"추천사항, 추천",,,
day23,conference,"회의, 회담",,,
day23,schedule,~을 예정하다,,,
day23,include,포함하다,,,
day23,result,"결과,(~의 결과로)되다",,,
day23,register,등록하다,,,
day23,require,요구하다,,,
day23,grateful,"고마워하는, 감사하는",,,
day23,overtime,"초과근무, 야근",,,
day23,responsibility,"부담, 책임, 의무",,,
day23,assent,"찬성하다, 승인, 동의
(approval 승인)
(approve 찬성하다)
(prove 증명하다)",,,
day23,regard,"~을 -으로 간주하다, 여기다,
관심,배려",,,
day23,tentative,"임시적인, 잠정적인",,,
day23,welcome,"반가운, 기꺼이 받아들여지는",,,
day23,function,"행사, 연회",,,
day23,commence,시작되다,,,
day23,objective,"목표, 목적",,,
day23,excited,"신이 난, 들뜬",,,
day23,reimbursement,"상환, 변제, 배상",,,
day23,treatment,"대우, 처우",,,
day23,honor,"존경, 명예",,,
day23,emphasize,강조하다,,,
day23,entry,"(경기 등의)참가자, 출품물",,,
day23,bonus,"상여금, 보너스",,,
day23,salary,급여,,,
day23,earn,"(금전 등을)벌다; (평판을)받다, 얻다",,,
day23,arise,"(문제 등이)발생하다, 일어나다 = occur",,어라이즈,
day23,labor,노동,,,
day23,union,노동조합,,,
day23,existing,"기존의, 현행의",,,
day23,exploit,"착취하다, 부당하게 이용하다
(exploitation 개발,개척,약탈,착취)",,,
day24,appoint,"임명하다, 지명하다",,,
day24,appraisal,평가,,,
day24,promote,승진시키다; 촉진하다,,,
day24,skilled,"숙련된, 노련한",,,
day24,radically,"완전히, 철저히, 근본적으로
(radical 근본적인, 과격한)",,,
day24,exceptional,"뛰어난, 예외적인
(exception 예외, 이의, 반대)",,,
day24,appreciation,감사,,,
day24,evaluate,평가하다,,,
day24,suggest,"제안하다, 추천하다",,,
day24,preference,선호,,,
day24,management,"경영진, 경영",,,
day24,predict,예측하다,,,
day24,transfer,보내다; 전근시키다,,,
day24,award,"상
(reward 보상하다, 포상,보상)",,,
day24,mandatory,의무적인,,,
day24,competent,"유능한, 능숙한
(competence 능력)",,캄퍼턴트,
day24,performance,"실적,성과; 공연,연주, 연기",,,
day24,reward,"~에 보답하다, 보상하다, 포상,보상
(award 상)",,,
day24,search,"찾기, 수색, 조사",,,
day24,inexperienced,"경험없는, 미숙한",,,
day24,early,"시간상 이른, 조기의",,,
day24,designate,"지명하다, 지정하다",,,
day24,executive,"경영의,관리의",,,
day24,dedication,헌신,,,
day24,unanimously,"만장일치로
(unanimous 만장일치의)
(anonymously 익명으로, 특색없이)",,,
day24,progress,"진행, 진척, 진전, 진보하다, 발전하다",,,
day24,congratulate,축하하다,,,
day24,dismiss,"해임하다, 해고하다",,,
day24,independence,독립성,,,
day24,participation,"참여, 참가, 가입",,,
day24,praise,칭찬,,,
day24,accomplishment,"성과,업적",,,
day24,deliberation,"토의, 심의, 숙고
(deliberate 고의의, 숙고하다)",,,
day24,leadership,"리더십, 지도력",,,
day24,retire,"퇴직하다, 은퇴하다",,,
day24,nomination,"임명, 지명",,,
day24,reorganize,"재편성하다, 재조직하다
(recognize 인식하다)
(organize 조직하다)",,,
day24,serve,"근무하다, 일하다",,,
day24,encouragement,격려,,,
day24,resignation,"사임, 사직, 사직서",,,
day24,strictly,엄격히,,,
day25,congestion,"(교통의)체증, 혼잡
(congest 혼잡하게 하다)",,,
day25,alleviate,완화하다,,,
day25,divert,"우회시키다, 다른 곳으로 돌리다",,,
day25,detour,우회,,,
day25,fuel,연료,,,
day25,malfunction,"오작동, 기능불량",,,
day25,permit,"허락하다, 허가증",,,
day25,transportation,"교통(수단), 운송 수단",,,
day25,opportunity,기회,,,
day25,clearly,명확히,,,
day25,ongoing,계속 진행 중인,,,
day25,detailed,상세한,,,
day25,alternative,"대안, 대체, 다른, 대신의",,,
day25,obtain,"획득하다, 얻다",,,
day25,designated,지정된,,,
day25,intersection,"교차로, 교차지점",,,
day25,equip,"갖추다, 설비하다",,,
day25,commute,통근하다,,,
day25,downtown,"시내에서, 도심지로",,,
day25,automotive,자동차의,,,
day25,closure,폐쇄,,,
day25,vehicle,"차량, 운송 수단",,,
day25,platform,승강장,,,
day25,official,"공무원, 관리, 공식적인",,,
day25,transit,"교통, 수송, 통과하다",,,
day25,fare,교통요금,,,
day25,expense,"비용, 지출",,,
day25,trust,"신뢰, 신임, 믿다, 신뢰하다",,,
day25,head,"(~의 방향으로)나아가다, 향하게 하다",,,
day25,drive,"(차 등을)운전하다, 타고가다, 조종하다",,,
day25,fine,벌금,,,
day25,pass,"지나가다, 통과하다",,,
day25,securely,"(매듭 등이)단단하게, 튼튼하게",,,
day25,prominently,"눈에 잘 띄게, 두드러지게
(prominent 눈에 띄는)",,,
day25,reserved,"예약된, 예약한; 지정된",,,
day25,average,"평균치, 평균",,,
day25,collision,충돌,,,
day25,tow,견인하다,,,
day25,reverse,"뒤의, 반대의",,,
day25,obstruct,"(전망 등을)가리다, 차단하다;
(도로 등을)막다
(obstruction 장애물, 방해물)",,,
day26,delinquent,"(세금 등이)연체된, 미불의",,,
day26,overdue,"(지불,반납 등의)기한이 지난, 지불 기한이 넘은",,,
day26,regrettably,유감스럽게도,,,
day26,balance,"잔고, 차감 잔액",,,
day26,deposit,"입금하다, 예금하다",,,
day26,investigation,"조사 (investigate 연구하다, 조사하다)",,,
day26,account,계좌; 설명; 고려,,,
day26,statement,"명세서, 성명서",,,
day26,amount,"액수, 양",,,
day26,withdrawal,(예금의)인출,,,
day26,previously,이전에,,,
day26,due,"만기가 된, 지불 기일이 된;
(금전 등이)~에게 마땅히 지급되어야 할",,,
day26,receive,"받다, 수취하다",,,
day26,expect,"예상하다, 기대하다",,,
day26,certificate,"증명서, 증서",,,
day26,document,"서류, 문서",,,
day26,spending,소비; 지출,,,
day26,successfully,성공적으로,,,
day26,bill,"~에게 청구서를 보내다, 청구서, 계산서",,,
day26,pleasure,"즐거움, 기쁜, 영광",,,
day26,study,연구,,,
day26,summary,"요약, 개요
(emphasize 강조하다)",,,
day26,temporary,임시의,,,
day26,lower,"(양,가격을)줄이다",,,
day26,transaction,"거래, 업무",,,
day26,double,두배로 만들다,,,
day26,identification,"신분증, 신분 증명서",,,
day26,dissatisfaction,"불만, 불평",,,
day26,in common,"공통으로, 공동으로",,,
day26,interest,관심; 권리; 이자,,,
day26,reject,"거절하다, 거부하다",,,
day26,relation,관계,,,
day26,tentatively,"임시로, 시험적으로
(tentative 시험적인, 임시의, 가설)",,,
day26,alternatively,"그렇지 않으면, 그 대신에",,,
day26,attentive,"주의 깊은, 세심한",,,
day26,convert,"전환하다, 변환하다",,,
day26,heavily,"몹시, 심하게",,,
day26,loan,"대출, 대출금",,,
day26,unexpected,예기치 않은,,,
day26,cash,현금으로 바꾸다,,,
day26,mortgage,(담보)대출,,,
day26,payable,지불해야 하는,,,
day26,personal,개인의,,,
day27,investment,"투자, 투자금",,,
day27,incrative,"수익성 있는, 돈벌이가 되는
(profit, earning, gainings 이익)
(income 수입, 소득)",,,
day27,inherently,"본질적으로
(inherent 본래 갖추어져 있는, 고유의)",,,
day27,secure,"확보하다, 얻어 내다;
안전하게 지키다, 고정시키다",,,
day27,foreseeable,"예견할 수 있는
(oversee 감독하다)
(overseas 외국의)",,,
day27,innate,타고난,,,
day27,property,재산,,,
day27,on behalf of,~을 대신해서,,,
day27,lease,임대차(계약),,,
day27,sponsor,"후원하다, 후원자",,,
day27,propose,제안하다,,,
day27,support,"후원, 원조, 지지, 지원하다,
후원하다; 살게하다,
(생명, 기력 등을)유지하다",,,
day27,distributuion,"분배, 배급",,,
day27,consider,고려하다,,,
day27,nearly,"거의, 대략",,,
day27,consent,"동의, 허락, 동의하다
(consentaneous일치하는)",,,
day27,gratitude,"고마움, 감사",,,
day27,consult,"상의하다, 상담하다",,,
day27,advice,"조언, 충고",,,
day27,partially,"부분적으로, 일부분은",,,
day27,evident,"분명한, 명백한,",,,
day27,reliability,"신뢰도, 믿음직함",,,
day27,cautious,"조심하는, 신중한",,,
day27,insight,"식견, 통찰력",,,
day27,portfolio,"포트폴리오, 투자 자산 구성",,,
day27,possible,"가능한, 있음직한",,,
day27,speculation,"추측
(speculate, suppose, guess, infer 추측하다)",,,
day27,solely,"오로지, 혼자서, 전적으로",,소울리,
day27,entrepreneur,사업가,,,
day27,eventually,"결국, 마침내",,,
day27,shareholder,주주,,,
day27,outlook,전망,,,
day27,stability,"안정, 안정성",,,
day27,bond,채권,,,
day27,depreciation,"가치 하락, 화폐의 구매력 저하
(depreciate : ~의 가치를 떨어뜨리다, 가치가 떨어지다)",,,
day27,increasing,증가하는,,,
day27,prevalent,"유행하고 있는, 널리 퍼진
(prevalence 보급, 유행)",,,
day27,rapid,"빠른, 신속한",,,
day27,unprecedented,"전례 없는
(precedented 전례가 있는)",,,
day27,yield,"(이윤을) 가져오다, 산출하다",,,
day28,furnished,가구가 비치된,,,
day28,residence,"거주지, 주택",,,
day28,spacious,(공간이)넓은,,,
day28,drape,(방 등을 커튼 등으로)장식하다,,,
day28,unoccupied,"(집 등이)비어 있는, 사람이 살지 않는
(occupy 차지하다, 점유하다)",,,
day28,renovation,"수리, 개조",,,
day28,appropriate,"적당한, 적합한(appropriately 적합하게)",,,
day28,delay,"연기하다, ~을 뒤로 미루다",,,
day28,community,"지역 사회, 공동체",,,
day28,construction,"건설, 건축",,,
day28,repair,수리하다,,,
day28,currently,현재,,,
day28,regularly,정기적으로,,,
day28,arrange,"배열하다, 정돈하다",,,
day28,location,"장소, 위치",,,
day28,restore,"복구하다, 회복시키다
(recovery 회복, recover되찾다, 회복하다)",,,
day28,presently,"현재
(present, current현재의)
(latest, recent, up to date 최근의)",,,
day28,numerous,많은,,,
day28,abandon,"그만두다; 버리다(abondonment 버림, 포기)",,,
day28,contractor,"계약자, 도급업자",,,
day28,develop,개발하다,,,
day28,maintain,"유지하다, 관리하다",,,
day28,densely,"빽빽이, 밀집하여",,,
day28,prepare,"준비하다, 채비를 갖추다",,,
day28,finally,"결국, 마침내",,,
day28,district,"지역, 지구",,,
day28,renewal,재개발,,,
day28,compulsory,의무적인,,,
day28,interfere,"방해하다, 해치다",,,
day28,relocation,"이전, 재배치",,,
day28,totally,"완전히, 전적으로",,,
day28,actually,"실제로, 사실은",,,
day28,architect,건축가,,,
day28,enlarge,"확장하다, 확대하다",,,
day28,install,"설치하다, 장치하다",,,
day28,permanent,영구적인,,,
day28,suppose,"생각하다, 추측하다(guess, infer 추측하다)",,,
day28,adjacent,인접한,,,
day28,consist,"구성되다, 이루어지다",,,
day28,utility,공공시설; 공공요금,,,
day29,conserve,"보전하다, 유지하다",,,
day29,chance,"가능성, 기회",,,
day29,forecast,(날씨의)예보,,,
day29,waste,"쓰레기, 폐기물",,,
day29,dispose,"처분하다, 처리하다",,,
day29,recycling,재활용,,,
day29,clear,"맑게 갠; 명백한, 분명한
또렷하게, 완전히; 떨어져서",,,
day29,damage,"피해, 손해, 손상시키다",,,
day29,significant,"상당한; 중대한, 중요한",,,
day29,solution,해결책,,,
day29,occur,"(일이)발생하다, 생기다(happen, take place)",,,
day29,ideal,이상적인,,,
day29,preserve,"보존하다, 보호하다(=conserve, maintain, retain, keep)",,,
day29,aid,"원조, 돕다",,,
day29,excessive,"지나친, 과도한(excess 초과, 초과량)",,,
day29,intensively,집중적으로( intense 격렬한),,,
day29,vary,"다르다, 다양하다",,베어리,
day29,pleasing,"즐거운, 기분 좋은, 만족스러운",,,
day29,mark,"점수, 평점, 표시, 축하하다",,,
day29,inaccessible,"접근이 불가능한, 이용이 불가능한",,,
day29,disturb,방해하다,,,
day29,pollutant,오염물질,,,
day29,emission,"배기가스, 방출",,,
day29,dense,"빽빽한, 밀집한",,,
day29,environmental,환경적인,,,
day29,consistent,"일치하는, 지속적인, 한결같은",,,
day29,leak,"누출, 누출량",,,
day29,organization,단체,,,
day29,continually,계속해서,,,
day29,contaminate,오염시키다(=pollution),,,
day29,disaster,재난,,,
day29,discharge,방출하다,,,
day29,resource,"자원, 자료",,,
day29,prominent,"유명한, 두드러진",,,
day29,deplete,고갈시키다(depletion 고갈),,,
day29,purify,정화시키다,,,
day29,endangered,멸종 위기에 처한,,,
day29,extinction,멸종,,,
day29,drought,가뭄,,,
day29,inflict,"(고통,피해를)입히다, 가하다",,,
day29,migration,"이동, 이주",,,
day29,ecology,"생태, 자연환경",,,
day29,habitat,"(동, 식물의)서식지",,,
day30,fatigue,피로,,,
day30,checkup,건강 진단,,,
day30,symtom,증상,,,
day30,physician,내과의사,,피지션,
day30,diagnosis,진단,,,
day30,prescribe,"(약을)처방하다, 규정하다",,,
day30,recovery,"회복, 쾌유",,,
day30,recognize,"인정하다, 알아보다
(organize 조직하다)",,,
day30,join,~에 가입하다,,,
day30,comprehensive,"종합적인, 포괄적인",,,
day30,participate,"참여하다, 참가하다",,,
day30,recommend,"권고하다, 추천하다",,,
day30,necessary,필요한,,,
day30,ability,능력,,,
day30,operation,수술,,,
day30,cleanliness,청결,,,
day30,duration,"지속 기간, 지속",,,
day30,examination,"진찰, 검사",,,
day30,eliminate,제거하다(elimination 제거),,,
day30,easily,쉽게,,,
day30,dental,치과의,,,
day30,dietary,"식이 요법의, 규정식의",,,
day30,related,관련된,,,
day30,transmit,"전염시키다(transmittable 전염가능한, 유전가능한)",,,
day30,periodically,주기적으로,,,
day30,reaction,반응,,,
day30,simple,단순한,,,
day30,coverage,"(보험의)보상 범위; (신문 등의)보도, 취재범위",,,
day30,exposure,노출,,,
day30,pharmaceutical,"제약의, 약학의",,,
day30,premium,보험료,,,
day30,relieve,완화시키다,,,
day30,combination,"결합, 연합",,,
day30,conscious,"알고 있는, 자각하고 있는
(consciousness : 의식)",,,
day30,deprivation,"박탈, 상실(deprivative 박탈하는, 빼앗는)",,,
day30,health,"건강; (사회,기관의,)번영,안녕",,,
day30,induce,"유발하다 (reduce줄이다, 낮추다)",,,
day30,insurance,보험,,,
day30,nutrition,영양,,,
day30,prevention,"예방(prevent 예방하다, 방해하다)",,,
day30,susceptible,"~에 감염되기 쉬운, 영향 받기 쉬운",,,
